URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.de/ValueSet/identifier-type-de-basis,1.5.4,active,,IdentifierTypeDeBasisVS,Identifier Type DeBasis ValueSet,"ValueSet zur Codierung des Identifier-Typs","StructureDefinition/GEM-ERPCHRG-PR-Consent","THO (V2),de.basisprofil.r4"
http://hl7.org/fhir/ValueSet/consent-content-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.748",ConsentContentCodes,Consent Content Codes,"This example value set contains all LOINC code","StructureDefinition/GEM-ERPCHRG-PR-Consent","LOINC"
http://hl7.org/fhir/ValueSet/consent-data-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.3.759",ConsentDataMeaning,ConsentDataMeaning,"How a resource reference is interpreted when testing consent restrictions.","StructureDefinition/GEM-ERPCHRG-PR-Consent","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/consent-provision-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.757",ConsentProvisionType,ConsentProvisionType,"How a rule statement is applied, such as adding additional consent or removing consent.","StructureDefinition/GEM-ERPCHRG-PR-Consent","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/consent-scope,4.0.1,draft,"2.16.840.1.113883.4.642.3.761",ConsentScopeCodes,Consent Scope Codes,"This value set includes the four Consent scope codes.","StructureDefinition/GEM-ERPCHRG-PR-Consent","THO"
http://hl7.org/fhir/ValueSet/consent-state-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.755",ConsentState,ConsentState,"Indicates the state of the consent.","StructureDefinition/GEM-ERPCHRG-PR-Consent","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/device-kind,4.0.1,draft,"2.16.840.1.113883.4.642.3.208",FHIRDeviceTypes,FHIR Device Types,"Codes used to identify medical devices. Includes concepts from SNOMED CT (http://www.snomed.org/) where concept is-a 49062001 (Device)  and is provided as a suggestive example.","StructureDefinition/GEM-ERPCHRG-PR-ChargeItem","SCT"
http://hl7.org/fhir/ValueSet/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.109",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReply,StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReq","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/icd-10,4.0.1,draft,"2.16.840.1.113883.4.642.3.531",ICD-10Codes,ICD-10 Codes,"This value set includes sample ICD-10 codes.","StructureDefinition/GEM-ERPCHRG-PR-ChargeItem","FHIR"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/GEM-ERPCHRG-PR-ChargeItem","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/GEM-ERPCHRG-PR-Consent,StructureDefinition/GEM-ERPCHRG-PR-ChargeItem","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReply,StructureDefinition/GEM-ERPCHRG-PR-PAR-Patch-ChargeItem-Input,StructureDefinition/GEM-ERPCHRG-PR-Consent,StructureDefinition/GEM-ERPCHRG-PR-ChargeItem,StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReq","Other"
http://hl7.org/fhir/ValueSet/performer-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.433",ProcedurePerformerRoleCodes,Procedure Performer Role Codes,"This example value set defines the set of codes that can be used to indicate a role of a procedure performer.","StructureDefinition/GEM-ERPCHRG-PR-ChargeItem","SCT"
http://hl7.org/fhir/ValueSet/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.3.115",RequestPriority,Request priority,"The clinical priority of a diagnostic order.","StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReply,StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReq","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/resource-types,4.0.1,active,"2.16.840.1.113883.4.642.3.27",ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReply,StructureDefinition/GEM-ERPCHRG-PR-Consent,StructureDefinition/GEM-ERPCHRG-PR-ChargeItem,StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReq","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/security-labels,4.0.1,active,"2.16.840.1.113883.4.642.3.47",All Security Labels,SecurityLabels,"A single value set for all security labels defined by FHIR.","StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReply,StructureDefinition/GEM-ERPCHRG-PR-PAR-Patch-ChargeItem-Input,StructureDefinition/GEM-ERPCHRG-PR-Consent,StructureDefinition/GEM-ERPCHRG-PR-ChargeItem,StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReq",
http://hl7.org/fhir/ValueSet/security-role-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.978",SecurityRoleType,SecurityRoleType,"This example FHIR value set is comprised of example Actor Type codes, which can be used to value FHIR agents, actors, and other role         elements such as those specified in financial transactions. The FHIR Actor value set is based on    DICOM Audit Message, C402;   ASTM Standard, E1762-95 [2013]; selected codes and          derived actor roles from HL7 RoleClass OID 2.16.840.1.113883.5.110;    HL7 Role Code 2.16.840.1.113883.5.111, including AgentRoleType;          HL7 ParticipationType OID: 2.16.840.1.113883.5.90; and    HL7 ParticipationFunction codes OID: 2.16.840.1.113883.5.88.           This value set includes, by reference, role codes from external code systems: NUCC Health Care Provider Taxonomy OID: 2.16.840.1.113883.6.101;          North American Industry Classification System [NAICS]OID: 2.16.840.1.113883.6.85; IndustryClassificationSystem 2.16.840.1.113883.1.11.16039;          and US Census Occupation Code OID: 2.16.840.1.113883.6.243 for relevant recipient or custodian codes not included in this value set.            If no source is indicated in the definition comments, then these are example FHIR codes.          It can be extended with appropriate roles described by SNOMED as well as those described in the HL7 Role Based Access Control Catalog and the          HL7 Healthcare (Security and Privacy) Access Control Catalog.            In Role-Based Access Control (RBAC), permissions are operations on an object that a user wishes to access. Permissions are grouped into roles.          A role characterizes the functions a user is allowed to perform. Roles are assigned to users. If the user's role has the appropriate permissions          to access an object, then that user is granted access to the object. FHIR readily enables RBAC, as FHIR Resources are object types and the CRUDE          events (the FHIR equivalent to permissions in the RBAC scheme) are operations on those objects.          In Attribute-Based Access Control (ABAC), a user requests to perform operations on objects. That user's access request is granted or denied          based on a set of access control policies that are specified in terms of attributes and conditions. FHIR readily enables ABAC, as instances of          a Resource in FHIR (again, Resources are object types) can have attributes associated with them. These attributes include security tags,          environment conditions, and a host of user and object characteristics, which are the same attributes as those used in ABAC. Attributes help          define the access control policies that determine the operations a user may perform on a Resource (in FHIR) or object (in ABAC). For example,          a tag (or attribute) may specify that the identified Resource (object) is not to be further disclosed without explicit consent from the patient.","StructureDefinition/GEM-ERPCHRG-PR-Consent","THO (V3),THO,DICOM"
http://terminology.hl7.org/ValueSet/v3-ActCode,3.0.0,active,,ActCode,v3 Code System ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.  Constraints:  The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems.  The coding system will depend on the class of Act, such as LOINC for observations, etc. Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure. Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","StructureDefinition/GEM-ERPCHRG-PR-Consent","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ParticipationMode,3.0.0,active,"2.16.840.1.113883.1.11.16543",ParticipationMode,ParticipationMode,"Identifies the primary means by which an Entity participates in an Act.","StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReply,StructureDefinition/GEM-ERPCHRG-PR-Communication-ChargChangeReq","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-PurposeOfUse,3.1.0,active,"2.16.840.1.113883.1.11.20448",PurposeOfUse,PurposeOfUse,"Supports communication of purpose of use at a general level.","StructureDefinition/GEM-ERPCHRG-PR-Consent","THO (V3)"
https://gematik.de/fhir/erpchrg/ValueSet/GEM_ERPCHRG_VS_ConsentType,1.1.0-draft,draft,,GEM_ERPCHRG_VS_ConsentType,ValueSet of Consent Codes,"Type of Consents for the ePrescription.","StructureDefinition/GEM-ERPCHRG-PR-Consent","Internal"
